source,lemma,display,unit,pos,level,topic,zh,forms,example,translation,exampleSources,levelBasis,status,reviewFields,reviewSource,reviewSourceUrl,reviewedOn
"NTNU LearnNoW / NoW 初级课程候选","kjøledisk","en kjøledisk","单词","名词","A1","超市购物","冷藏展示柜；商店陈列冷藏食品的冷柜","en kjøledisk · kjøledisken · kjøledisker · kjølediskene","Melka står i kjøledisken ved inngangen. / Butikken har en ny kjøledisk.","牛奶放在入口旁的冷藏展示柜里。 / 商店新添了一台冷藏展示柜。","https://ordbokene.no/nob/search?dict=bm%2Cnn&q=kj%C3%B8ledisk&scope=eif","超市食品购物场景名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/kjøledisk","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","kirke","ei kirke","单词","名词","A1","城市与地点","教堂；基督教教会/团体（依语境）","ei kirke · kirka · kirker · kirkene","Det står ei gammel kirke ved torget. / Kirken ligger nær sentrum. / Prestene i Den norske kirke.","广场旁有一座古老的教堂。 / 教堂位于市中心附近。 / 挪威教会的牧师们。","https://ordbokene.no/bm/kirke","常见公共建筑名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/kirke","2026-09-24"
"NTNU NoW Vocabulary list；Bokmålsordboka 阳性名词词形","park","en park","单词","名词","A1","城市与地点","公园；（复合词中）特定活动或设施所在区域","en park · parken · parker · parkene","Vi spiste lunsj i parken. / Det finnes flere parker i sentrum. / Byen har mange fine parker.","我们在公园里吃了午饭。 / 市中心有好几个公园。 / 城里有很多漂亮的公园。","https://ordbokene.no/bm/park","城市地点和户外活动基础名词；课程暂列 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/park","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","gate","ei gate","单词","名词","A1","城市与方向","街；街道（城镇中通常两侧有房屋的道路）","ei gate · gata · gater · gatene","Skolen ligger i en rolig gate. / Barna går over gata sammen. / Butikken ligger rett over gata.","学校位于一条安静的街道上。 / 孩子们一起过马路。 / 商店就在街对面。","https://ordbokene.no/bm/gate","基础城市地点名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/gate","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","gågate","ei gågate","单词","名词","A1","城市与方向","步行街；禁止或限制机动车通行、以行人为主的街道","ei gågate · gågata · gågater · gågatene","Butikkene i gågata stenger klokka seks. / Vi møtes ved inngangen til gågata.","步行街上的商店六点关门。 / 我们在步行街入口处碰面。","https://ordbokene.no/bm/g%C3%A5gate","购物与城市出行复合名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/g%C3%A5gate","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","katedral","en katedral","单词","名词","A1","城市与文化","主教座堂；与主教相联系的主要教堂","en katedral · katedralen · katedraler · katedralene","Turistene besøkte katedralen i sentrum. / Nidarosdomen er en kjent katedral i Trondheim. / Nidarosdomen er en katedral.","游客参观了市中心的主教座堂。 / 尼达罗斯大教堂是特隆赫姆一座著名的主教座堂。 / 尼达罗斯大教堂是一座主教座堂。","https://ordbokene.no/bm/katedral","城市建筑和文化场景名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/katedral","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","katt","en katt","单词","名词","A1","宠物与动物","猫；家猫（也可泛指猫科动物）","en katt · katten · katter · kattene","Naboen har en svart katt. / Katten sover på sofaen. / Katten lå under ovnen og malte.","邻居养了一只黑猫。 / 那只猫在沙发上睡觉。 / 猫躺在炉子下面，发出呼噜声。","https://ordbokene.no/bm/katt","常见宠物名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/katt","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","bytur","en bytur","单词","名词","A1","出行与活动","进城/到城里一趟；在城里的出行或游逛","en bytur · byturen · byturer · byturene","Vi drar på bytur på lørdag. / Byturen tok hele ettermiddagen. / Hun var med mormor på bytur.","我们周六进城一趟。 / 这趟进城花了整个下午。 / 她跟外婆进城了一趟。","https://ordbokene.no/bm/bytur","城市日常出行复合名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/bytur","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","tur","en tur","单词","名词","A1","出行与活动","出行、散步或短途旅行；轮到的次序；一趟/一轮（依搭配）","en tur · turen · turer · turene","Vi går en tur langs elva etter middag. / Barna skal på tur med skolen. / Det er min tur nå!","晚饭后我们沿着河边散步。 / 孩子们要和学校一起外出活动。 / 现在轮到我了！","https://ordbokene.no/bm/tur","日常出行和休闲基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/tur","2026-09-24"
"NTNU NoW Vocabulary list；Bokmålsordboka 阳性名词词形","ovn","en ovn","单词","名词","A1","厨房与家电","炉具；烤箱/烤炉；取暖炉（依复合词和用途）","en ovn · ovnen · ovner · ovnene","Sett pizzaen i ovnen på 220 grader. / Det står en gammel vedovn i stua.","把披萨放进烤箱，温度设为220度。 / 客厅里有一台老式柴炉。","https://ordbokene.no/bm/ovn","家庭和做饭场景常见物品名词；课程暂列 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/ovn","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","bagett","en bagett","单词","名词","A1","厨房与用餐","法棍；法式长棍面包","en bagett · bagetten · bagetter · bagettene","Jeg kjøper en bagett til lunsj. / Bagettene ligger ved siden av brødet.","我买一条法棍当午餐。 / 法棍放在面包旁边。","https://ordbokene.no/bm/bagett","面包与购物基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/bagett","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","bolle","en bolle","单词","名词","A1","厨房与用餐","碗；小圆面包/圆形烘焙食品（依搭配）","en bolle · bollen · boller · bollene","Jeg kjøper en kanelbolle til kaffen. / Hun spiser suppe fra en bolle.","我买一个肉桂小圆面包配咖啡。 / 她用碗喝汤。","https://ordbokene.no/bm/bolle","食物与咖啡馆基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/bolle","2026-09-24"
"vocab-v2-library.js · V2 词条","gaffel","en gaffel","单词","名词","A1","厨房与用餐","叉子；餐叉；（器具中）叉状分叉部分","en gaffel · gaffelen · gafler · gaflene","Vi trenger en gaffel til. / Gaflene ligger i skuffen.","我们还需要一把叉子。 / 叉子在抽屉里。","https://ordbokene.no/bm/gaffel","项目内部等级标签，需抽查","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/gaffel","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","glass","et glass","单词","名词","A1","厨房与用餐","玻璃（材料）；玻璃杯；一杯饮品（依搭配）","et glass · glasset · glass · glassene","Kan jeg få et glass vann? / Glasset falt på gulvet, men det knuste ikke.","能给我一杯水吗？ / 玻璃杯掉到地上了，但没有摔碎。","https://ordbokene.no/bm/glass","日常餐桌物品基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/glass","2026-09-24"
"NTNU LearnNoW / NoW 初级课程候选","is","en is","单词","名词","A1","厨房与用餐","冰；冰块/冰层；冰淇淋或冰棒（依语境）","en is · isen · iser · isene","Barna kjøper en is etter skolen. / Det er glatt fordi det ligger is på veien. / Vannet frøs til is.","孩子们放学后买一个冰淇淋。 / 路面有冰，所以很滑。 / 水结成了冰。","https://ordbokene.no/bm/is","食物与天气基础名词；暂标 A1","来源已登记：词头/词性/核心义项","词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/is","2026-09-24"
