"lemma","pos","candidateLevel","article","sourceCourses","courseUnits","firstChapter","sourceInflections","zh","exampleNb","exampleZh","levelBasis","reviewStatus"
"avis","名词","A1","ei","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01P; 07C","1","avisa, aviser, avisene / ei avis · avisa · aviser · avisene","报纸；一份报纸；新闻报刊","Bestefar leser avisa hver morgen. / Jeg kjøpte to aviser på stasjonen.","爷爷每天早上看报。 / 我在车站买了两份报纸。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bensinstasjon","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01P; 04C","1","bensinstasjonen, bensinstasjoner, bensinstasjonene / en bensinstasjon · bensinstasjonen · bensinstasjoner · bensinstasjonene","加油站；加油站（为机动车加注燃料的站点）","Vi stopper på bensinstasjonen for å fylle bensin. / Det ligger en bensinstasjon ved motorveien.","我们在加油站停下来加油。 / 高速公路旁有一家加油站。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bil","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01P; 03B","1","bilen, biler, bilene / en bil · bilen · biler · bilene","汽车；轿车","Vi har en liten bil. / Bilen står utenfor huset.","我们有一辆小汽车。 / 那辆车停在房子外面。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bli","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01P; 03D","1","bli · blir · ble · blitt / blir, ble, har blitt","变成；成为；留下","Hun blir lærer neste år. / Vi ble hjemme fordi det regnet.","她明年将成为老师。 / 因为下雨，我们待在家里。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bo","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01K; 02A; 03A","1","bo · bor · bodde · bodd / bor, bodde, har bodd","居住；住","De bor i Oslo. / Jeg bodde hos en venn i sommer.","他们住在奥斯陆。 / 今年夏天我住在一位朋友家。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"brus","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01P; 04A","1","brusen, brus, brusene / en brus · brusen · brus · brusene","汽水；碳酸软饮料；口语中也可指一份/一瓶汽水","Barna får brus på lørdager. / Kan jeg få en brus uten sukker?","孩子们星期六可以喝汽水。 / 可以给我一瓶无糖汽水吗？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"by","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01M; 06A","1","byen, byer, byene / en by · byen · byer · byene","城市；城镇","Bergen er en vakker by. / Vi går en tur i byen.","卑尔根是一座美丽的城市。 / 我们在城里散步。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"dag","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01B; 01M","1","dagen, dager, dagene / en dag · dagen · dager · dagene","一天；白天；某一天","Jeg jobber hjemme én dag i uka. / Dagene blir lysere om våren.","我每周有一天在家工作。 / 春天白天会变得更长、更明亮。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"dame","名词","A1","ei","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01K; 02A","1","dama, damer, damene / ei dame · dama · damer · damene","女士；女性；（口语）妻子/女伴，视语境","Ei dame spør etter bussen til sentrum. / Damene sitter ved vinduet.","一位女士在问去市中心的公交车。 / 几位女士坐在窗边。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"ekspeditør","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01P; 06C","1","ekspeditøren, ekspeditører, ekspeditørene / en ekspeditør · ekspeditøren · ekspeditører · ekspeditørene","售货员；店员；柜台服务人员","Jeg spør ekspeditøren hvor kaffen står. / En ekspeditør hjalp oss med å finne riktig størrelse.","我问店员咖啡放在哪里。 / 一位店员帮我们找到了合适的尺码。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"familie","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01K; 03B","1","en familie · familien · familier · familiene / familien, familier, familiene","家庭；一家人；家族","Familien min bor i Norge. / De kommer fra to forskjellige familier.","我家人住在挪威。 / 他们来自两个不同的家庭。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"fly","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01A; 02A","1","et fly · flyet · fly · flyene / flyet, fly, flyene","飞机；航班（口语语境）","Vi tar et fly til Bergen. / Flyene er forsinket på grunn av været.","我们乘飞机去卑尔根。 / 由于天气原因，航班延误了。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"gjøre","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01A; 03A; 07D; 08C; 11D","1","gjør, gjorde, har gjort / gjøre · gjør · gjorde · gjort / gjøre, gjør, har gjort","做；进行；造成","Jeg gjør leksene mine etter middag. / Hva gjorde du i går?","我晚饭后做作业。 / 你昨天做什么了？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"ha","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01K; 02B; 07B","1","ha · har · hadde · hatt / har, hadde, har hatt","有；持有；经历","Jeg har to søstre. / Hadde du tid i går?","我有两个姐妹。 / 你昨天有时间吗？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"hete","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01A; 01B; 01K","1","hete · heter · het · hett / heter, het, har hett","名叫；名字是","Jeg heter Mei. / Hva heter søsteren din?","我叫梅。 / 你妹妹 / 姐姐叫什么名字？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"hilse","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01B; 01M","1","hilse · hilser · hilste · hilst / hilser, hilste, har hilst","问候；打招呼；代为致意","Jeg hilser på læreren hver morgen. / Hils familien din fra meg.","我每天早上向老师问好。 / 替我向你家人问好。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"jente","名词","A1","ei","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01K; 02B","1","ei jente · jenta · jenter · jentene / jenta, jenter, jentene","女孩；年轻女性","Jenta går på skolen. / Det står to jenter utenfor.","这个女孩去上学。 / 外面站着两个女孩。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"jobbe","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01A; 03A","1","jobbe · jobber · jobbet · jobbet / jobber, jobbet, har jobbet","工作；干活","Jeg jobber på et sykehus. / Hun jobbet hele dagen i går.","我在一家医院工作。 / 她昨天工作了一整天。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kart","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01P; 04D","1","et kart · kartet · kart · kartene / kartet, kart, kartene","地图；图表；清单/概览（依语境）","Kan du vise meg det på kartet? / Vi trenger et kart over byen.","你能在地图上指给我看吗？ / 我们需要一张城市地图。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kilometer","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01P; 04D","1","en kilometer · kilometeren · kilometer · kilometerne / kilometeren, kilometer, kilometerne","公里；千米","Det er tre kilometer til skolen. / Butikken ligger én kilometer unna.","到学校有三公里。 / 商店在一公里外。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"komme","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01D; 01K; 02A; 07B","1","komme · kommer · kom · kommet / kommer, kom, har kommet","来；到达；变得（依语境）","Barna kommer hjem klokka fire. / Toget kom for sent i går.","孩子们四点回家。 / 火车昨天晚点了。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"koste","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01P; 06C","1","koste · koster · kostet · kostet / koster, kostet, har kostet","花费；价格为；（另一义）扫/掸","Hvor mye koster denne jakka? / Billetten kostet 250 kroner.","这件夹克多少钱？ / 这张票花了250克朗。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"krone","名词","A1","ei","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01P; 05C","1","ei krone · krona · kroner · kronene / krona, kroner, kronene","克朗；皇冠（依语境）","Kaffen koster 35 kroner. / Jeg fant ei krone på gulvet.","咖啡要35克朗。 / 我在地上发现了一枚克朗硬币。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"antropologi","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","01A","1","en antropologi · antropologien · antropologier · antropologiene","人类学（研究人类的文化、社会与作为物种的学科）","Hun studerer antropologi ved universitetet. / Antropologi handler om mennesker og samfunn.","她在大学学习人类学。 / 人类学研究人类与社会。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"arkitektur","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","01A","1","en arkitektur · arkitekturen · arkitekturer · arkitekturene","建筑学；建筑设计；建筑风格","Broren min studerer arkitektur i Oslo. / Vi liker den moderne arkitekturen i byen.","我哥哥在奥斯陆学习建筑学。 / 我们喜欢这座城市的现代建筑风格。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"båt","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","01M","1","en båt · båten · båter · båtene","船；小船；艇","De tar båt til øya. / Båten ligger ved brygga.","他们乘船去岛上。 / 船停在码头边。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"fra","介词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","01D","1","fra","从；来自；自（时间/来源）","Jeg kommer fra Kina. / Butikken er åpen fra ni til fem.","我来自中国。 / 商店从九点开到五点。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"god","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","01B","1","god · godt · gode · bedre · best / godt, gode","好；美味的；善良的；合适的（依语境）","Dette brødet er veldig godt. / Hun er en god venn.","这面包非常好吃。 / 她是一位好朋友。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"hyggelig","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","01B","1","hyggelig · hyggelig · hyggelige · hyggeligere · hyggeligst / hyggelig, hyggelige","愉快的；友好的；令人舒服的","Det var hyggelig å møte deg. / Vi hadde en hyggelig kveld sammen.","很高兴见到你。 / 我们一起度过了愉快的夜晚。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"norsk","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","01C","1","norsk · norsk · norske / norsk, norske","挪威的；挪威语的；挪威人的","Jeg lærte et nytt norsk ord på kurset. / De bor i et norsk hus.","我在课程上学了一个新的挪威语单词。 / 他们住在一栋挪威式的房子里。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"på","介词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","01B","1","på","在……上；在/去某些地点；乘坐/从事（依搭配）","Nøklene ligger på bordet. / Hun er på jobb i dag.","钥匙在桌子上。 / 她今天在上班。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"være","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","01C; 02B; 07B; 08A","1","er, var, har vært / være · er · var · vært","是；处于；在（表示状态或位置）","Jeg er hjemme nå. / Vi var på jobb i går.","我现在在家。 / 我们昨天在上班。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"adresse","名词","A1","ei","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02K; 03B","2","adressa, adresser, adressene / ei adresse · adressa · adresser · adressene","地址；住址；电子邮件地址（依语境）","Hva er adressa di? / Jeg skriver adressen på skjemaet.","你的地址是什么？ / 我把地址写在表格上。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
