"lemma","originalCandidate","pos","candidateLevel","article","sourceCourses","courseUnits","firstChapter","sourceInflections","officialForms","officialPOS","officialHeadwordFound","zh","exampleNb","exampleZh","resolution"
"bil","bil","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01P; 03B","1","bilen, biler, bilene / en bil · bilen · biler · bilene","bil · bilen · bilene · biler","NOUN","True","汽车","Vi kjører bil til byen.","我们开车去城里。","Ordbank 词头匹配"
"bli","bli","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01P; 03D","1","bli – blir – ble – blitt / blir, ble, har blitt","ble · blei · bleiv · blev · bli · blir · blis · blitt · blitte · blivende","VERB","True","变成、成为","Jeg blir bedre.","","Ordbank 词头匹配"
"bo","bo","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01K; 02A; 03A","1","bo – bor – bodde – bodd / bor, bodde, har bodd","bo · boa · bodd · bodde · boende · boene · boet · bor · bos","VERB","True","居住","Jeg bor i Norge.","","Ordbank 词头匹配"
"by","by","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01M; 06A","1","byen, byer, byene / en by · byen · byer · byene","bød · bøy · budt · budte · by · bydd · bydde · byen · byende · byene · byer · byr · bys","NOUN","True","城市","Oslo er en stor by.","奥斯陆是一座大城市。","Ordbank 词头匹配"
"dag","dag","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01B; 01M","1","dagen, dager, dagene / en dag · dagen · dager · dagene","dag · dagen · dagene · dager","NOUN","True","天","Hver dag lærer jeg litt norsk.","每天我学一点挪威语。","Ordbank 词头匹配"
"familie","familie","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01K; 03B","1","en familie · familien · familier · familiene / familien, familier, familiene","familie · familien · familiene · familier","NOUN","True","家庭","Familien min bor i Norge.","我的家人住在挪威。","Ordbank 词头匹配"
"gjøre","gjøre","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01A; 03A; 07D; 08C; 11D","1","gjør, gjorde, har gjort / gjøre – gjør – gjorde – gjort / gjøre, gjør, har gjort","gjør · gjorde · gjøre · gjørende · gjøres · gjort · gjorte","VERB","True","做","Jeg gjør en innsats.","","Ordbank 词头匹配"
"ha","ha","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01K; 02B; 07B","1","ha – har – hadde – hatt / har, hadde, har hatt","ha · hadde · haende · har · has · hatt","VERB","True","有","Jeg har tid.","","Ordbank 词头匹配"
"jente","jente","名词","A1","ei","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01K; 02B","1","ei jente · jenta · jenter · jentene / jenta, jenter, jentene","jenta · jente · jenten · jentene · jenter","NOUN","True","女孩；年轻女性","Jenta går på skolen. / Det står to jenter utenfor.","这个女孩去上学。 / 外面站着两个女孩。","Ordbank 词头匹配"
"jobbe","jobbe","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01A; 03A","1","jobbe – jobber – jobbet – jobbet / jobber, jobbet, har jobbet","jobb · jobba · jobbe · jobbede · jobbende · jobber · jobbes · jobbet · jobbete","VERB","True","工作","Jeg jobber i Oslo.","","Ordbank 词头匹配"
"komme","komme","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","01D; 01K; 02A; 07B","1","komme – kommer – kom – kommet / kommer, kom, har kommet","kom · komma · komme · kommen · kommende · kommene · kommer · kommes · kommet · komne","VERB","True","来","Jeg kommer snart.","","Ordbank 词头匹配"
"være","være","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","01C; 02B; 07B; 08A","1","er, var, har vært / være – er – var – vært","er · vær · væra · være · værede · værende · værer · væres · været · værete · vært · var","VERB","True","是、处于","Jeg er hjemme.","","Ordbank 词头匹配"
"betale","betale","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02K; 05C","2","betale – betaler – betalte – betalt / betaler, betalte, har betalt","betal · betale · betalende · betaler · betales · betalt · betalte","VERB","True","支付","Jeg betaler regningen.","","Ordbank 词头匹配"
"billett","billett","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02M; 11D","2","billetten, billetter, billettene / en billett · billetten · billetter · billettene","billett · billetten · billettene · billetter","NOUN","True","票","Jeg kjøper en billett.","我买一张票。","Ordbank 词头匹配"
"buss","buss","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02A; 09A","2","bussen, busser, bussene / en buss · bussen · busser · bussene","buss · bussen · bussene · busser","NOUN","True","公交车","Jeg tar bussen til jobb.","我坐公交去上班。","Ordbank 词头匹配"
