candidateLevel,lemma,pos,topic,sourceCourses,chineseMeaning,listedForms,exampleNb,exampleZh,exampleCount,appLevel,appIntegrated,fieldsPresent,manualReviewStatus,dictionarySource,dictionarySourceUrl,manuallyCheckedOn,examplesManuallyCheckedOn,officialLemmaFound,formAuditStatus,cefrReview,meaningAndExampleReview
"A1","avis","名词","媒体与阅读","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","报纸；一份报纸；新闻报刊","avisa, aviser, avisene / ei avis · avisa · aviser · avisene","Bestefar leser avisa hver morgen. / Jeg kjøpte to aviser på stasjonen.","爷爷每天早上看报。 / 我在车站买了两份报纸。","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/nob/bm/avis","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","bensinstasjon","名词","交通与出行","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","加油站；加油站（为机动车加注燃料的站点）","bensinstasjonen, bensinstasjoner, bensinstasjonene / en bensinstasjon · bensinstasjonen · bensinstasjoner · bensinstasjonene","Vi stopper på bensinstasjonen for å fylle bensin. / Det ligger en bensinstasjon ved motorveien.","我们在加油站停下来加油。 / 高速公路旁有一家加油站。","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/bm%2Cnn/bensinstasjon","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","bil","名词","交通与出行","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","汽车；轿车","bilen, biler, bilene / en bil · bilen · biler · bilene","Vi har en liten bil. / Bilen står utenfor huset.","我们有一辆小汽车。 / 那辆车停在房子外面。","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/bm/bil","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","bli","动词","日常动作 / 日常基础 / 未来计划与目标","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","变成；成为；留下","bli · blir · ble · blitt / blir, ble, har blitt","Hun blir lærer neste år. / Vi ble hjemme fordi det regnet.","她明年将成为老师。 / 因为下雨，我们待在家里。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/bli","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","bo","动词","住房与居住 / 家庭与人物","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","居住；住","bo · bor · bodde · bodd / bor, bodde, har bodd","De bor i Oslo. / Jeg bodde hos en venn i sommer.","他们住在奥斯陆。 / 今年夏天我住在一位朋友家。","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/bm/bo","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","brus","名词","饮食与购物","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","汽水；碳酸软饮料；口语中也可指一份/一瓶汽水","brusen, brus, brusene / en brus · brusen · brus · brusene","Barna får brus på lørdager. / Kan jeg få en brus uten sukker?","孩子们星期六可以喝汽水。 / 可以给我一瓶无糖汽水吗？","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/bm/brus","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","by","名词","交通与出行","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","城市；城镇","byen, byer, byene / en by · byen · byer · byene","Bergen er en vakker by. / Vi går en tur i byen.","卑尔根是一座美丽的城市。 / 我们在城里散步。","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/bm/8262","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","dag","名词","时间与日程 / 日常基础","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","一天；白天；某一天","dagen, dager, dagene / en dag · dagen · dager · dagene","Jeg jobber hjemme én dag i uka. / Dagene blir lysere om våren.","我每周有一天在家工作。 / 春天白天会变得更长、更明亮。","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/bm/DAG","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","dame","名词","家人和关系","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","女士；女性；（口语）妻子/女伴，视语境","dama, damer, damene / ei dame · dama · damer · damene","Ei dame spør etter bussen til sentrum. / Damene sitter ved vinduet.","一位女士在问去市中心的公交车。 / 几位女士坐在窗边。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/dame","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","ekspeditør","名词","食物与购物","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","售货员；店员；柜台服务人员","ekspeditøren, ekspeditører, ekspeditørene / en ekspeditør · ekspeditøren · ekspeditører · ekspeditørene","Jeg spør ekspeditøren hvor kaffen står. / En ekspeditør hjalp oss med å finne riktig størrelse.","我问店员咖啡放在哪里。 / 一位店员帮我们找到了合适的尺码。","2","A1","true","true","词典核验：词头/词性/核心义项","Det Norske Akademis ordbok","https://naob.no/ordbok/ekspedit%C3%B8r","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","familie","名词","家人和关系 / 家庭与人物 / 未来计划与目标","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","家庭；一家人；家族","en familie · familien · familier · familiene / familien, familier, familiene","Familien min bor i Norge. / De kommer fra to forskjellige familier.","我家人住在挪威。 / 他们来自两个不同的家庭。","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/bm/familie","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","fly","名词","交通与出行","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","飞机；航班（口语语境）","et fly · flyet · fly · flyene / flyet, fly, flyene","Vi tar et fly til Bergen. / Flyene er forsinket på grunn av været.","我们乘飞机去卑尔根。 / 由于天气原因，航班延误了。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/fly","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","gjøre","动词","日常动作 / 日常基础 / 未来计划与目标","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","做；进行；造成","gjør, gjorde, har gjort / gjøre · gjør · gjorde · gjort / gjøre, gjør, har gjort","Jeg gjør leksene mine etter middag. / Hva gjorde du i går?","我晚饭后做作业。 / 你昨天做什么了？","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/bm/gj%C3%B8re","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","ha","动词","日常动作 / 日常基础","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","有；持有；经历","ha · har · hadde · hatt / har, hadde, har hatt","Jeg har to søstre. / Hadde du tid i går?","我有两个姐妹。 / 你昨天有时间吗？","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/bm/ha","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","hete","动词","交流与语言","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","名叫；名字是","hete · heter · het · hett / heter, het, har hett","Jeg heter Mei. / Hva heter søsteren din?","我叫梅。 / 你妹妹 / 姐姐叫什么名字？","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/bm/hete","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","hilse","动词","交流与语言","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","问候；打招呼；代为致意","hilse · hilser · hilste · hilst / hilser, hilste, har hilst","Jeg hilser på læreren hver morgen. / Hils familien din fra meg.","我每天早上向老师问好。 / 替我向你家人问好。","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/bm/hilse","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","jente","名词","家人和关系","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","女孩；年轻女性","ei jente · jenta · jenter · jentene / jenta, jenter, jentene","Jenta går på skolen. / Det står to jenter utenfor.","这个女孩去上学。 / 外面站着两个女孩。","2","A1","true","true","词典核验：词义/词性/词形/例句/译文","Bokmålsordboka","https://ordbokene.no/bm/jente","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","jobbe","动词","工作与学习 / 时间与日常 / 未来计划与目标","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","工作；干活","jobbe · jobber · jobbet · jobbet / jobber, jobbet, har jobbet","Jeg jobber på et sykehus. / Hun jobbet hele dagen i går.","我在一家医院工作。 / 她昨天工作了一整天。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/jobbe","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","kart","名词","交通与出行","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","地图；图表；清单/概览（依语境）","et kart · kartet · kart · kartene / kartet, kart, kartene","Kan du vise meg det på kartet? / Vi trenger et kart over byen.","你能在地图上指给我看吗？ / 我们需要一张城市地图。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/kart","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","kilometer","名词","交通与出行","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","公里；千米","en kilometer · kilometeren · kilometer · kilometerne / kilometeren, kilometer, kilometerne","Det er tre kilometer til skolen. / Butikken ligger én kilometer unna.","到学校有三公里。 / 商店在一公里外。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/kilometer","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","komme","动词","日常动作 / 日常基础","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","来；到达；变得（依语境）","komme · kommer · kom · kommet / kommer, kom, har kommet","Barna kommer hjem klokka fire. / Toget kom for sent i går.","孩子们四点回家。 / 火车昨天晚点了。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/komme","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","koste","动词","饮食与购物","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","花费；价格为；（另一义）扫/掸","koste · koster · kostet · kostet / koster, kostet, har kostet","Hvor mye koster denne jakka? / Billetten kostet 250 kroner.","这件夹克多少钱？ / 这张票花了250克朗。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/koste","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","krone","名词","饮食与购物","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","克朗；皇冠（依语境）","ei krone · krona · kroner · kronene / krona, kroner, kronene","Kaffen koster 35 kroner. / Jeg fant ei krone på gulvet.","咖啡要35克朗。 / 我在地上发现了一枚克朗硬币。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/krone","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","antropologi","名词","学习领域与专业","NTNU NoW1; NorweigenLearn 当前词库","人类学（研究人类的文化、社会与作为物种的学科）","en antropologi · antropologien · antropologier · antropologiene","Hun studerer antropologi ved universitetet. / Antropologi handler om mennesker og samfunn.","她在大学学习人类学。 / 人类学研究人类与社会。","2","A1","true","true","词典核验：词头/词性/核心义项","Det Norske Akademis ordbok","https://naob.no/ordbok/antropologi","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","arkitektur","名词","学习领域与专业","NTNU NoW1; NorweigenLearn 当前词库","建筑学；建筑设计；建筑风格","en arkitektur · arkitekturen · arkitekturer · arkitekturene","Broren min studerer arkitektur i Oslo. / Vi liker den moderne arkitekturen i byen.","我哥哥在奥斯陆学习建筑学。 / 我们喜欢这座城市的现代建筑风格。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/2670","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","båt","名词","交通与出行","NTNU NoW1; NorweigenLearn 当前词库","船；小船；艇","en båt · båten · båter · båtene","De tar båt til øya. / Båten ligger ved brygga.","他们乘船去岛上。 / 船停在码头边。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/b%C3%A5t","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","fra","介词","交通与出行","NTNU LearnNoW; NorweigenLearn 当前词库","从；来自；自（时间/来源）","fra","Jeg kommer fra Kina. / Butikken er åpen fra ni til fem.","我来自中国。 / 商店从九点开到五点。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/fra","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","god","形容词","描述与感受 / 未来计划与目标","NTNU LearnNoW; NorweigenLearn 当前词库","好；美味的；善良的；合适的（依语境）","god · godt · gode · bedre · best / godt, gode","Dette brødet er veldig godt. / Hun er en god venn.","这面包非常好吃。 / 她是一位好朋友。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/god","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","hyggelig","形容词","描述与感受","NTNU LearnNoW; NorweigenLearn 当前词库","愉快的；友好的；令人舒服的","hyggelig · hyggelig · hyggelige · hyggeligere · hyggeligst / hyggelig, hyggelige","Det var hyggelig å møte deg. / Vi hadde en hyggelig kveld sammen.","很高兴见到你。 / 我们一起度过了愉快的夜晚。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/hyggelig","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","norsk","形容词","工作与学习","NTNU LearnNoW; NorweigenLearn 当前词库","挪威的；挪威语的；挪威人的","norsk · norsk · norske / norsk, norske","Jeg lærte et nytt norsk ord på kurset. / De bor i et norsk hus.","我在课程上学了一个新的挪威语单词。 / 他们住在一栋挪威式的房子里。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/norsk","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","på","介词","位置与指示 / 未来计划与目标","NTNU LearnNoW; NorweigenLearn 当前词库","在……上；在/去某些地点；乘坐/从事（依搭配）","på","Nøklene ligger på bordet. / Hun er på jobb i dag.","钥匙在桌子上。 / 她今天在上班。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/på","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","være","动词","日常动作 / 日常基础","NTNU LearnNoW; NorweigenLearn 当前词库","是；处于；在（表示状态或位置）","er, var, har vært / være · er · var · vært","Jeg er hjemme nå. / Vi var på jobb i går.","我现在在家。 / 我们昨天在上班。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/v%C3%A6re","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
"A1","adresse","名词","个人信息","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","地址；住址；电子邮件地址（依语境）","adressa, adresser, adressene / ei adresse · adressa · adresser · adressene","Hva er adressa di? / Jeg skriver adressen på skjemaet.","你的地址是什么？ / 我把地址写在表格上。","2","A1","true","true","词典核验：词头/词性/核心义项","Bokmålsordboka","https://ordbokene.no/bm/adresse","2026-09-24","2026-09-24","true","词头与列出词形匹配","课程候选等级；尚未逐词人工确认","例句/译文已人工审校"
