id,lemma,display,pos,level,topic,currentZh,reviewedZh,reviewStatus,reviewerNote,reviewedOn
"名词|aktivitet","aktivitet","en aktivitet","名词","待拆级","未来计划与目标","活动；活跃状态（看语境）","活动；活跃状态（看语境）","已人工审校","Bokmålsordboka 分为两类：处于活动状态/活力（være i aktivitet）和一项具体活动、事务（en aktivitet / sosiale aktiviteter）。卡片例句 Vi skal velge en aktivitet for helgen 是“选一项活动”，而 Hun er i aktivitet hele dagen 是“一整天都在活动”；不是所有场景都指一场活动。https://ordbokene.no/bm/aktivitet","2026-09-26"
"名词|beslutning","beslutning","en beslutning","名词","待拆级","未来计划与目标","决定；决议（作出判断或决定这一行为/结果）","决定；决议（作出判断或决定这一行为/结果）","已人工审校","可指个人作出的决定，也可指机构正式决议；常搭配 ta/fatte/treffe en beslutning（作决定）。Bokmålsordboka 接受阳性或阴性：en beslutning / ei beslutning；本词条采用 en。Styret har fattet følgende beslutning 是“董事会作出了以下决定”。https://ordbokene.no/bm/beslutning","2026-09-26"
"名词|endring","endring","en endring","名词","待拆级","未来计划与目标","变化；改变（可指变化过程或变化后的结果）","变化；改变（可指变化过程或变化后的结果）","已人工审校","可指某事变得不同，也可指被提出/实施的一项具体改动。Bokmålsordboka 允许 en/ei：en endring / ei endring；本卡采用 en。gjøre noen endringer 是“做几处改动”，与发生变化的抽象过程略有区别。https://ordbokene.no/bm/endring","2026-09-26"
"形容词|energisk","energisk","energisk","形容词","待拆级","未来计划与目标","精力充沛的；干劲十足的","精力充沛的；干劲十足的","已人工审校","描述人或行动充满精力、积极主动；Bokmålsordboka 也记录副词用法 protestere energisk（积极/强烈地抗议）。专题例句 et energisk menneske 指一个精力旺盛的人，不等同于单纯‘性格外向’。https://ordbokene.no/bm/energisk","2026-09-26"
"动词|fokusere","fokusere","å fokusere","动词","待拆级","未来计划与目标","专注；集中注意力","专注；集中注意力","已人工审校","具体镜头/视线可用 fokusere linsen/blikket（调焦/聚焦）；注意力义常用 fokusere på + 名词或 på å + 动词原形，如 fokusere på å løse problemene（把注意力集中在解决问题上）。当前专题句 fokusere mer på norsk 表示把更多注意力放在挪威语上。https://ordbokene.no/bm/fokusere","2026-09-26"
"形容词|fokusert","fokusert","fokusert","形容词","待拆级","未来计划与目标","专注的；注意力集中的（常用 fokusert på）","专注的；注意力集中的（常用 fokusert på）","已人工审校","描述人的注意力集中，或工作/讨论的重点明确；常用 være fokusert på + 主题/任务。Jeg vil være mer fokusert på norsk 是“我想把更多注意力放在挪威语上”；形容词 fokuser(t) 不要与动词 fokusere（集中注意力）混为同一词形。https://ordbokene.no/bm/fokusere","2026-09-26"
"动词|forandre","forandre","å forandre","动词","待拆级","未来计划与目标","改变；使变化","改变；使变化","已人工审校","及物结构 forandre noe 是改变某物；反身 forandre seg 是自己/事物发生变化。专题句 Små steg kan forandre hverdagen 的 steg 指一步步行动，宜译‘一点点行动也能改变日常生活’，不要把 steg 误译成‘进步’。https://ordbokene.no/bm/forandre","2026-09-26"
"动词|forbedre","forbedre","å forbedre","动词","待拆级","未来计划与目标","改善；提高","改善；提高","已人工审校","及物用法改善某个对象：forbedre teknikken（改进技术）；被动 mye kan forbedres her 是‘这里有很多方面可以改进’。反身 forbedre seg 表示自身/状况变好，不能把两种句型都机械译成‘提高’。https://ordbokene.no/bm/forbedre","2026-09-26"
"名词|forbedring","forbedring","en forbedring","名词","待拆级","未来计划与目标","改善；改进；进步（相较之前变得更好）","改善；改进；进步（相较之前变得更好）","已人工审校","指改善这一过程或已经出现的较好结果：en klar forbedring（一项明显改进）；常见 forbedring av noe（对某事的改进）。和 framgang（持续进展/进步）相近，但 forbedring 更直接指“改好/改善”的变化或结果。允许 en/ei，本卡采用 en。https://ordbokene.no/bm/forbedring","2026-09-26"
"名词|forsett","forsett","et forsett","名词","待拆级","未来计划与目标","打算；意图；决心（新年计划常见于 nyttårsforsett）","打算；意图；决心（新年计划常见于 nyttårsforsett）","已人工审校","et forsett 指打算去做的事、意图或决心，语体较正式；常见 fullføre forsettet sitt（完成自己的打算）、ha et urokkelig forsett（有坚定决心）。新年计划常说 nyttårsforsett。法律语境另指故意，与过失相对；初学先掌握意图义。中性名词：et forsett – forsettet – forsetter – forsettene。https://ordbokene.no/bm/forsett","2026-09-26"
"名词|framgang","framgang","en framgang","名词","待拆级","未来计划与目标","进展；进步（朝更好的方向发展）","进展；进步（朝更好的方向发展）","已人工审校","指发展朝更好方向推进，也可表示顺利、成功；常说 være i framgang（正在进步/发展）、ha framgang（取得进展）。Bokmål 允许 framgang 和 fremgang 两种拼法；此词通常作为抽象单数概念使用。https://ordbokene.no/bm/framgang","2026-09-26"
"名词|framtid","framtid","en framtid","名词","待拆级","未来计划与目标","未来；前景（指将来的处境或发展可能）","未来；前景（指将来的处境或发展可能）","已人工审校","可指当前之后的时间，也可指某人/事物将来的前景：framtiden ligger åpen foran deg 不只是‘未来在你前方’，自然意为‘你的未来充满可能’。Bokmål 允许 framtid/fremtid；名词可用 en 或 ei，本卡采用 en。https://ordbokene.no/bm/framtid","2026-09-26"
"动词|fullføre","fullføre","å fullføre","动词","待拆级","未来计划与目标","完成；做完（把课程、任务等进行到底）","完成；做完（把课程、任务等进行到底）","已人工审校","及物动词，强调把课程、学业、任务或一轮谈判进行到结束：fullføre et studium（完成一项学业）。专题 Jeg skal fullføre kurset 是‘我打算完成这门课程’，不是只表示开始或参与。过去时 fullførte，完成分词 fullført。https://ordbokene.no/bm/fullf%C3%B8re","2026-09-26"
